Airline,Source,Destination,Total_Stops,Price,Journey_Day,Journey_Month,Duration_mins,Dep_Hour,Arrival_Hour
8,0,5,0,3527,24,3,170,5,8
3,0,2,0,3943,27,5,170,4,6
1,1,4,0,4667,5,3,135,11,13
1,3,0,1,6117,15,5,965,19,11
4,2,1,2,11150,27,6,1195,23,19
4,2,1,0,7202,3,9,195,11,14
4,3,0,1,12121,5,1,1520,9,10
3,0,5,0,4377,24,3,170,22,1
3,0,2,0,3943,18,6,180,21,0
0,0,2,0,4483,4,3,170,23,2
4,3,0,1,14231,24,3,975,19,12
1,0,5,2,17345,3,1,905,8,23
10,1,4,0,7414,3,6,135,7,9
6,2,1,1,8073,5,6,390,19,1
10,4,3,1,12395,3,6,1505,15,16
1,3,0,1,8366,6,6,745,9,21
1,2,1,1,5117,4,3,1640,6,9
6,2,1,1,12524,6,3,615,8,19
3,2,1,1,7191,15,5,630,15,1
10,1,4,0,3687,24,5,135,7,9
3,2,1,1,5894,24,6,625,10,21
10,0,2,0,5403,24,4,170,9,12
1,4,3,0,3625,5,6,90,13,15
1,2,1,2,10861,21,5,800,5,19
3,1,4,0,6297,3,12,135,13,15
4,4,3,0,5678,6,1,85,7,8
4,0,5,1,9134,3,9,1590,5,8
6,2,1,1,10791,24,6,440,11,19
4,2,1,2,12819,24,6,810,23,12
3,2,1,1,6893,21,3,300,5,10
10,0,5,0,7240,3,9,165,9,12
2,0,2,0,3898,4,3,170,11,14
3,4,3,0,4049,4,3,90,6,7
4,2,1,1,10262,15,6,1145,17,12
8,1,4,0,3332,21,3,135,8,10
4,3,0,1,10844,6,9,890,21,12
4,0,5,0,7229,24,3,160,19,22
4,3,0,1,13941,5,6,1330,6,4
3,2,1,1,5894,27,6,575,11,21
6,2,1,1,10197,18,5,600,9,19
4,0,5,1,13712,3,6,1280,14,11
3,2,1,1,5636,24,6,325,2,7
4,2,1,2,13014,6,6,1125,9,4
4,3,0,1,7064,4,1,740,8,20
4,3,0,1,10703,24,5,1080,20,14
6,2,1,1,9646,27,5,555,13,22
6,2,1,1,17057,3,6,665,2,13
4,0,5,1,13817,3,12,1050,16,10
1,2,1,2,13748,3,6,800,5,19
1,3,0,0,4880,21,4,155,20,23
3,1,4,0,3540,21,6,145,5,7
8,0,2,0,3257,15,5,160,5,8
4,0,2,0,6478,6,3,180,19,22
4,4,3,0,8040,18,6,85,7,8
4,2,1,2,14300,6,12,995,20,12
4,3,0,1,14781,15,5,740,8,20
4,3,0,1,14939,6,9,735,20,8
4,2,1,1,10262,24,6,450,20,4
1,3,0,1,6528,5,12,1440,14,14
1,0,2,0,6121,5,1,165,6,8
4,2,1,2,13029,18,5,535,19,4
6,2,1,1,11421,27,3,430,11,18
6,2,1,1,7574,27,3,870,4,19
1,2,1,2,11596,5,9,1820,12,19
4,2,1,2,15129,24,5,1195,23,19
4,0,5,1,13555,18,3,900,14,5
3,0,2,0,5780,4,12,175,18,21
10,3,0,1,9397,5,12,765,20,9
4,2,1,1,17024,3,6,610,18,4
2,2,1,1,5281,27,6,355,7,12
6,2,1,1,10348,18,5,925,7,22
1,2,1,1,12677,3,6,965,17,9
6,2,1,1,15147,3,3,610,15,1
10,0,2,0,4668,6,12,160,7,9
4,2,1,1,15554,5,9,715,7,19
8,0,2,0,3971,4,9,160,5,8
1,4,3,0,3100,5,3,85,15,16
4,3,0,1,9663,5,6,845,20,10
1,2,1,1,27430,3,1,1215,23,19
3,1,4,0,3540,5,12,145,5,7
1,3,0,2,10676,21,5,1390,12,11
4,3,0,1,13044,6,12,1090,14,8
4,3,0,1,14388,5,6,960,20,12
3,0,2,0,3943,24,6,170,4,6
3,1,4,0,3597,6,3,140,14,17
1,0,5,1,5932,21,3,480,11,19
4,2,1,1,10262,15,6,1015,11,4
10,2,1,0,6216,5,12,190,14,17
3,3,0,0,4804,15,6,165,20,23
6,2,1,1,14067,21,5,840,11,1
4,2,1,2,15129,18,5,1430,19,19
4,2,1,2,13376,6,6,1300,6,4
1,2,1,2,10441,27,6,1275,22,19
4,0,2,0,4030,24,5,165,6,8
4,2,1,1,17024,3,3,650,8,18
6,2,1,1,13017,4,9,480,17,1
2,3,0,1,6686,6,6,495,23,7
3,2,1,1,5636,15,6,325,2,7
3,2,1,1,6442,6,9,515,7,16
6,2,1,1,9486,21,5,710,13,0
4,3,0,1,10844,21,5,1655,20,23
4,2,1,2,15318,6,3,505,20,4
1,2,1,1,5117,4,3,1255,12,9
3,2,1,1,6147,24,6,290,15,20
6,2,1,1,7005,6,9,490,12,21
8,3,0,0,3873,4,3,140,22,0
4,2,1,2,9270,21,3,1465,18,18
2,0,2,0,3898,27,6,170,11,14
4,3,0,1,14781,5,12,740,8,20
4,3,0,1,8586,24,5,735,20,8
1,3,0,2,10697,5,9,1415,8,7
4,2,1,2,14300,27,6,995,20,12
3,0,5,0,8855,3,3,170,18,21
4,3,0,1,10844,5,12,1545,16,18
4,2,1,1,17024,3,6,1570,2,4
4,3,0,1,9314,5,1,1730,9,14
3,0,5,0,4777,24,3,165,0,3
1,3,0,1,7662,6,9,1515,12,13
3,2,1,1,6442,5,9,560,6,16
8,2,1,1,5264,6,12,270,8,13
4,2,1,1,12898,27,5,925,13,4
1,4,3,0,6092,3,3,90,13,15
8,0,2,0,3311,21,5,160,5,8
4,2,1,1,6540,27,3,550,19,4
3,0,2,0,3419,27,5,165,1,4
4,2,1,1,5177,4,3,1355,14,12
1,2,1,0,8246,18,4,185,18,21
4,3,0,1,14676,6,9,690,9,21
6,2,1,1,13587,27,6,570,11,21
4,3,0,1,9663,5,6,730,21,9
4,3,0,1,13044,6,12,1055,16,10
3,2,1,1,5073,4,3,305,20,1
10,3,0,1,9345,21,5,1550,17,18
4,3,0,1,9663,5,6,1200,14,10
6,2,1,1,14277,21,5,780,8,21
4,2,1,1,10262,6,1,1105,10,4
4,4,3,0,5678,27,3,90,19,21
6,2,1,1,13727,15,5,570,16,1
4,3,0,1,9663,5,6,960,20,12
3,1,4,0,3858,5,12,140,14,17
8,2,1,1,4812,24,6,270,8,13
3,2,1,1,5775,27,6,345,21,3
4,3,0,1,10539,6,6,1450,9,9
3,3,0,0,4804,6,3,155,15,18
0,0,2,0,3383,6,12,165,11,13
3,0,5,1,8738,3,3,295,12,17
1,2,1,1,7165,27,3,1535,5,6
3,2,1,1,6412,24,6,380,16,22
4,0,2,0,8016,27,6,185,18,22
4,0,5,1,11087,3,12,1120,20,15
8,1,4,0,3543,27,6,135,9,12
4,3,0,1,12471,6,12,730,16,4
4,2,1,1,10262,24,6,1165,9,4
1,0,5,0,4441,18,3,170,13,16
6,2,1,1,12537,27,3,505,7,15
2,3,0,1,10091,24,3,555,22,7
1,0,2,0,6961,6,3,170,21,23
3,2,1,0,5013,24,4,195,5,8
1,2,1,0,6934,18,5,170,5,8
6,2,1,1,10877,6,3,740,6,19
4,0,2,0,7229,18,4,175,15,18
3,2,1,1,7048,27,3,575,16,1
10,0,2,0,4878,27,6,155,17,19
4,3,0,1,10844,21,5,570,14,23
4,2,1,2,15129,18,5,1760,23,4
3,0,2,0,3943,5,12,175,0,3
8,2,1,1,5583,6,6,315,6,11
6,2,1,1,9646,6,6,545,7,16
6,2,1,1,7677,6,3,645,8,19
3,2,1,1,6842,6,1,295,5,10
4,4,3,0,4995,24,6,90,8,10
10,3,0,1,9555,6,9,700,7,18
3,0,2,0,4077,6,1,165,1,4
4,0,2,0,7229,5,12,175,15,18
6,2,1,1,12192,6,9,600,9,19
1,0,2,0,5911,4,12,165,10,12
1,2,1,1,8372,6,12,615,9,19
4,4,3,0,4995,18,3,85,7,8
6,2,1,1,14323,5,9,555,10,19
4,2,1,2,13014,6,9,1375,5,4
1,2,1,2,13591,6,6,1730,14,19
4,2,1,2,18799,3,3,2245,5,18
3,0,2,0,3943,27,4,170,23,2
8,4,3,0,1965,21,5,90,5,7
4,4,3,0,4995,27,5,90,10,11
1,3,0,1,14641,24,3,1540,16,18
1,3,0,0,4460,4,12,155,20,23
1,2,1,1,10191,18,5,375,13,19
4,2,1,1,13843,3,9,1050,2,19
3,2,1,1,6349,5,1,345,21,3
0,3,0,0,4409,5,1,155,10,12
4,2,1,1,17024,3,6,1530,18,19
6,2,1,1,13727,18,5,835,7,21
3,0,5,0,8855,15,3,175,18,21
6,2,1,1,12524,24,6,615,8,19
4,0,5,1,13555,18,3,520,11,20
4,3,0,1,10844,6,6,330,6,12
6,2,1,1,13587,6,9,720,9,21
8,1,4,0,3543,6,12,135,9,12
10,1,4,0,4842,18,3,135,7,9
3,0,2,0,3943,24,4,170,23,2
4,2,1,1,10577,6,9,550,19,4
3,2,1,1,6979,15,5,625,10,21
10,1,4,0,11982,27,6,140,17,20
8,2,1,1,5264,6,6,270,8,13
10,2,1,0,8001,3,3,190,6,9
1,2,1,2,10651,6,1,1410,19,19
4,3,0,1,10844,24,5,1640,16,19
6,2,1,1,6601,27,3,755,9,22
1,2,1,1,6587,21,3,1455,19,19
8,4,3,0,3173,21,3,80,13,14
1,0,2,0,5228,5,9,165,10,12
4,0,2,0,5769,21,6,180,7,10
4,2,1,1,14714,6,6,660,8,19
4,2,1,2,13014,6,3,810,5,19
3,0,2,0,3359,6,3,170,22,1
2,0,5,0,6722,3,3,175,20,23
3,3,0,0,4462,18,3,165,9,12
3,2,1,1,6171,3,9,675,4,16
1,3,0,2,12303,21,5,875,5,20
6,2,1,1,7695,21,3,835,11,1
3,2,1,1,5684,24,6,845,11,1
1,3,0,1,8366,6,12,905,16,7
1,1,4,0,19630,3,1,135,11,13
4,0,5,1,13502,3,6,900,14,5
4,3,0,1,14781,5,1,775,21,10
6,2,1,1,6513,6,12,540,7,16
1,2,1,1,9929,6,1,735,7,19
6,2,1,2,18275,6,6,460,17,1
1,2,1,1,4487,4,9,1640,6,9
3,4,3,0,2754,15,3,85,21,22
1,4,3,0,2575,27,3,80,6,7
8,3,0,1,8224,6,12,330,15,21
1,2,1,1,8991,3,9,705,20,8
3,2,1,0,5000,24,6,195,5,8
4,3,0,1,8529,6,12,1495,18,19
1,2,1,1,14042,3,3,1640,6,9
4,0,2,0,4030,24,5,175,11,14
4,3,0,1,10844,6,6,1025,18,12
3,3,0,0,4804,5,6,160,21,0
6,2,1,1,7308,27,5,480,17,1
3,0,2,0,4823,5,12,180,16,19
4,2,1,1,10262,24,6,1655,9,12
4,2,1,1,12898,27,5,450,20,4
1,0,5,2,12778,3,12,1375,17,16
3,2,1,1,14871,3,3,515,4,13
1,2,1,2,8708,21,3,1795,13,19
4,3,0,1,10844,6,6,1335,20,18
8,4,3,0,4129,3,6,80,5,7
3,3,0,0,4804,18,5,160,21,0
4,0,2,0,7229,5,6,180,8,11
4,0,5,1,7832,21,3,730,7,19
8,1,4,0,3859,18,3,155,9,12
6,2,1,1,9001,6,6,705,7,19
10,0,2,0,4878,5,9,155,17,19
3,4,3,0,2754,5,3,90,2,4
10,0,2,0,4668,27,6,160,7,9
0,3,0,0,5216,5,12,155,10,12
4,2,1,2,10368,6,6,1375,5,4
3,2,1,2,8146,3,9,880,6,21
4,2,1,1,12242,27,3,925,13,4
4,0,5,1,9134,15,3,435,8,15
1,2,1,2,10939,6,6,1210,13,9
1,2,1,2,11753,6,6,1245,10,7
8,3,0,0,4174,24,4,150,17,19
4,3,0,1,10844,21,5,1430,20,19
4,2,1,1,14714,6,3,1620,16,19
4,3,0,1,9899,6,12,330,6,12
3,2,1,1,14871,3,3,710,9,21
3,1,4,0,7295,3,6,135,13,15
1,2,1,2,13465,6,6,1470,18,19
8,1,4,0,3543,21,5,140,17,20
6,2,1,1,7198,27,6,390,19,1
4,2,1,1,10262,6,1,1225,8,4
3,3,0,0,4148,15,3,155,15,17
4,0,2,0,8016,27,6,175,15,18
4,2,1,1,10262,6,9,335,22,4
8,3,0,0,3841,15,6,150,14,17
4,0,5,1,11507,3,12,885,9,0
4,3,0,1,14781,5,1,740,8,20
4,2,1,1,16079,27,5,1530,17,19
4,2,1,1,12898,27,5,335,22,4
6,2,1,1,15353,3,6,705,7,19
3,0,5,0,7303,24,3,175,18,21
8,3,0,1,6197,24,3,340,15,20
1,3,0,1,8996,6,9,245,9,13
3,2,1,1,6528,21,3,480,14,22
2,0,2,0,4239,4,9,165,20,23
3,3,0,0,4148,3,12,160,20,23
8,0,2,0,3971,24,5,175,21,0
0,3,0,1,5192,5,6,955,7,23
4,2,1,2,9483,4,9,1390,13,12
4,2,1,2,18804,6,3,440,11,19
1,2,1,0,5201,18,6,170,5,8
4,2,1,1,16079,27,5,450,11,19
4,0,2,0,7229,15,6,180,19,22
6,2,1,1,6795,27,5,465,17,1
4,3,0,1,10953,5,9,1520,9,10
6,2,1,2,15965,24,6,625,15,1
1,2,1,2,9968,4,9,1820,12,19
3,3,0,0,4804,6,6,155,22,0
4,2,1,1,16079,27,5,540,10,19
4,2,1,2,11507,6,12,910,21,12
1,3,0,2,11542,6,9,1700,9,13
4,0,2,0,7229,24,4,180,17,20
4,0,2,0,4544,27,4,165,6,8
3,2,1,1,6496,15,5,295,5,10
3,3,0,0,4804,15,6,160,21,0
1,0,5,1,13439,3,1,1330,11,9
4,2,1,1,6540,27,3,610,18,4
3,0,2,0,4591,6,1,170,23,2
3,0,5,1,4437,18,3,260,16,20
0,2,1,1,6151,21,3,660,20,7
4,0,2,0,7754,21,6,180,17,20
4,2,1,1,10262,24,6,1355,14,12
4,0,2,0,8016,6,9,185,18,22
8,3,0,0,4781,24,3,160,6,9
10,0,2,0,4668,27,6,170,11,14
1,0,5,1,14594,3,6,1265,11,8
4,3,0,1,14231,24,3,710,16,4
1,2,1,1,8425,15,5,1535,5,6
6,2,1,1,9646,6,12,925,7,22
3,1,4,0,7295,3,3,145,14,17
0,3,0,1,5162,4,9,220,6,10
3,0,5,0,6860,3,9,175,18,21
10,2,1,0,6216,15,4,190,6,9
0,3,0,1,5192,24,5,710,7,19
3,0,2,0,4823,4,9,170,20,22
8,0,2,0,3919,4,3,170,9,12
3,4,3,0,2754,6,3,90,19,20
6,2,1,1,9315,5,9,690,7,19
6,2,1,1,11667,27,3,530,10,18
4,3,0,1,6224,6,12,1215,8,4
1,3,0,2,13349,24,3,1210,9,5
4,0,5,1,11087,18,3,965,16,9
6,2,1,1,15603,3,6,755,13,1
4,2,1,2,15129,5,9,1025,19,12
3,0,2,0,4823,4,9,180,16,19
10,3,0,1,8452,5,1,930,7,22
6,2,1,1,12524,6,6,690,7,19
8,1,4,0,3384,27,3,140,17,20
4,2,1,1,10262,6,1,1425,19,19
8,4,3,0,1965,18,6,90,13,14
3,3,0,0,4804,18,5,155,22,0
4,2,1,1,16079,27,5,1485,18,19
4,2,1,2,13292,6,1,1295,21,19
0,2,1,1,6751,5,9,330,7,13
1,2,1,1,8669,15,5,735,7,19
3,2,1,1,14871,3,3,485,17,1
4,2,1,1,12898,21,5,300,14,19
8,0,2,0,3919,6,6,170,9,12
6,2,1,1,36983,3,1,385,12,19
3,1,4,0,3597,6,3,140,19,21
1,0,5,0,10741,3,9,165,17,19
1,3,0,2,11432,6,6,765,16,5
4,0,5,1,11087,3,12,950,18,10
4,2,1,2,13292,6,3,1620,9,12
1,2,1,3,10493,15,6,1585,5,7
2,0,5,0,7631,3,9,175,7,10
1,2,1,2,13381,6,6,1490,6,7
4,3,0,1,13731,6,6,520,20,4
1,2,1,2,11911,21,5,1545,5,7
3,0,2,0,4591,18,4,170,23,2
6,2,1,1,14848,6,3,375,13,19
6,2,1,1,8266,6,12,630,8,19
1,2,1,2,12392,18,5,1560,17,19
4,3,0,1,13044,6,12,1025,18,12
4,2,1,1,12898,21,5,1280,7,4
4,2,1,1,12242,21,3,335,22,4
3,0,2,0,3943,18,5,170,10,13
10,3,0,1,11105,24,3,1550,20,22
4,3,0,1,14388,5,12,730,21,9
4,2,1,2,13014,18,5,1025,19,12
6,2,1,1,15411,3,6,510,10,18
4,2,1,1,16289,3,9,1385,19,18
3,2,1,1,6442,15,5,560,6,16
4,3,0,1,10844,18,5,475,8,16
4,4,3,0,5678,18,5,90,10,11
3,0,2,0,6906,4,12,170,23,2
8,1,4,0,3543,21,5,135,9,12
4,2,1,1,14714,6,6,600,9,19
11,0,5,0,11793,3,3,155,16,18
6,2,1,1,14323,15,5,465,11,19
8,0,2,0,3971,4,9,175,21,0
10,3,0,1,8452,5,6,1580,20,22
10,0,2,0,5403,4,12,160,7,9
6,2,1,1,13727,5,9,660,10,21
1,3,0,2,12639,4,1,1165,10,5
4,0,2,0,5198,18,4,175,15,18
10,0,2,0,4878,6,1,165,19,22
4,2,1,1,12373,18,5,1395,19,19
6,2,1,1,8552,3,3,540,7,16
10,2,1,0,6741,21,4,190,14,17
6,2,1,1,6481,4,9,385,12,19
6,2,1,1,7354,6,6,520,10,19
1,0,2,0,5228,21,4,170,21,23
4,3,0,1,10844,5,12,740,8,20
3,2,1,1,6347,18,5,320,6,12
1,0,5,1,5013,15,3,240,8,12
4,3,0,1,9663,6,9,585,18,4
3,0,2,0,4823,4,6,175,18,21
1,2,1,2,13381,24,6,1580,16,19
8,1,4,0,3543,6,1,135,9,12
4,3,0,1,9663,15,5,585,18,4
4,3,0,1,7064,4,1,1495,18,19
4,2,1,1,10262,6,9,715,7,19
1,2,1,2,13013,6,1,500,10,19
4,2,1,2,15339,27,6,1045,19,12
2,0,2,0,4937,18,4,170,11,14
3,2,1,1,6818,6,6,425,5,12
1,2,1,2,10441,18,5,1275,22,19
4,2,1,1,5177,4,3,300,14,19
3,1,4,0,3858,27,6,145,11,14
3,3,0,1,6534,18,5,315,21,2
6,2,1,1,6795,15,6,910,10,1
6,2,1,1,9736,6,3,705,7,19
4,0,2,0,7229,5,1,180,19,22
8,2,1,1,4957,24,4,295,17,22
3,0,5,0,7648,3,9,165,6,8
8,3,0,0,3873,15,6,150,14,17
4,3,0,1,14388,5,12,585,18,4
3,3,0,0,5618,3,6,160,17,19
6,2,1,1,7408,6,9,390,19,1
0,2,1,1,13774,3,3,330,16,22
10,0,2,0,4668,5,3,160,7,9
4,2,1,2,13082,21,3,2045,18,4
1,2,1,1,8669,6,3,925,3,19
3,2,1,1,6316,24,6,570,16,1
4,2,1,1,12583,3,6,365,22,4
10,0,5,0,7923,3,9,160,16,18
2,2,1,1,7378,3,3,350,7,12
10,0,2,0,4878,6,3,165,19,22
4,3,0,1,10844,18,5,1640,16,19
4,0,2,0,7229,4,3,180,8,11
8,2,1,1,6297,21,5,315,6,11
4,3,0,1,8529,6,12,960,20,12
6,2,1,1,13727,18,5,420,14,21
8,3,0,1,6643,24,5,520,8,17
6,2,1,1,10197,5,9,540,10,19
8,3,0,0,4911,21,4,140,22,0
3,1,4,0,6482,3,6,140,5,7
4,0,5,1,26890,3,1,380,8,15
3,3,0,1,3717,18,5,265,19,23
3,1,4,0,3597,6,1,140,13,15
1,0,5,2,10846,18,3,665,11,22
1,0,5,1,14069,3,1,1015,5,22
4,2,1,1,5177,4,1,825,22,12
1,2,1,2,14641,3,6,1545,5,7
3,2,1,1,6442,6,6,835,8,22
1,2,1,1,5704,21,3,315,17,23
4,3,0,1,9663,5,6,1155,14,9
4,2,1,1,14714,6,6,450,20,4
4,2,1,1,5406,4,1,540,10,19
10,3,0,1,8610,15,5,1440,20,20
4,2,1,2,14237,6,12,1090,18,12
3,0,2,0,4823,6,9,175,7,10
3,4,3,0,2227,27,3,90,20,21
4,2,1,1,12373,18,5,1280,7,4
1,2,1,1,8372,6,6,375,13,19
4,2,1,1,17024,3,3,870,13,4
1,4,3,0,3100,27,5,80,21,22
4,2,1,1,14053,3,9,775,6,19
3,1,4,0,3540,5,9,145,5,7
10,3,0,1,9345,21,5,1350,20,18
4,2,1,2,10368,6,1,1375,5,4
4,0,5,1,26890,3,1,325,7,12
8,4,3,0,5755,3,9,85,8,10
4,0,5,1,7832,21,3,435,8,16
4,3,0,1,14388,5,6,740,8,20
1,2,1,2,8839,27,6,1210,13,9
1,2,1,2,22096,3,3,1275,22,19
10,1,4,0,3687,27,5,135,7,9
6,2,1,1,9627,15,5,630,8,19
6,2,1,1,13542,21,3,845,11,1
3,0,2,0,4423,27,4,170,4,6
3,2,1,2,8899,3,3,985,4,21
8,2,1,1,5583,21,4,315,6,11
0,2,1,1,6752,27,5,830,16,6
8,1,4,0,3543,21,5,135,8,10
4,0,5,1,7832,21,3,435,8,15
1,3,0,2,10991,5,1,1625,5,8
4,2,1,1,12898,27,5,1655,9,12
4,2,1,1,12898,27,5,300,14,19
2,0,2,0,3398,24,5,170,11,14
1,2,1,0,5201,24,4,170,5,8
1,3,0,2,13873,5,6,920,10,1
1,2,1,1,7384,15,6,320,17,23
4,2,1,1,10262,6,6,610,18,4
4,3,0,1,10031,24,3,1655,8,12
4,3,0,1,12384,5,6,575,9,19
4,3,0,1,7757,5,9,1690,14,18
4,0,5,1,17261,3,6,840,21,11
8,1,4,0,7298,3,1,155,9,12
4,0,2,0,7229,4,6,175,15,18
3,3,0,0,4174,4,1,155,4,7
3,3,0,1,5699,18,5,280,17,22
1,3,0,0,4880,24,4,150,14,16
1,2,1,1,15284,3,6,675,8,19
4,3,0,1,13759,24,3,475,8,16
10,3,0,1,16092,24,3,530,9,18
3,4,3,0,4392,3,9,85,6,7
4,2,1,1,10262,24,6,940,20,12
8,3,0,0,3841,6,12,155,6,9
2,0,2,0,5048,6,1,175,7,10
1,3,0,1,11096,21,5,805,7,20
3,2,1,1,5073,24,4,275,7,12
4,2,1,1,19828,3,3,1110,9,4
10,1,4,0,3739,21,3,135,7,9
1,2,1,2,10598,3,9,2295,5,19
4,0,2,0,7229,15,6,185,18,22
10,3,0,1,8610,4,1,1550,17,18
10,2,1,0,6216,5,9,190,14,17
1,0,2,0,6961,6,9,170,13,16
4,3,0,1,10703,5,6,690,9,21
4,3,0,1,14151,15,5,395,17,23
4,3,0,1,8586,5,9,1655,6,10
3,3,0,0,4488,4,12,155,20,22
6,2,1,1,7408,15,6,450,18,1
4,2,1,0,5443,18,4,195,11,14
4,3,0,1,10539,6,12,575,9,19
6,2,1,1,7723,6,1,750,13,1
6,2,1,1,15411,3,6,680,7,18
4,0,2,0,7229,21,5,180,7,10
3,3,0,0,4804,21,6,155,20,22
4,4,3,0,4050,3,3,90,2,4
4,3,0,1,14151,18,5,1570,17,19
8,2,1,1,4957,4,6,295,17,22
1,0,5,0,7591,3,3,165,21,23
4,3,0,1,11134,24,3,520,13,22
3,2,1,1,6600,27,5,425,5,12
1,0,5,0,4966,3,9,165,21,23
1,2,1,2,15481,6,1,1490,6,7
8,3,0,0,5515,3,1,140,22,0
4,2,1,1,14714,15,6,660,8,19
2,2,1,1,4959,15,6,540,10,19
4,0,2,0,7229,21,4,175,11,14
1,2,1,0,6094,15,5,185,18,21
0,3,0,0,4409,24,4,155,10,12
6,2,1,1,9794,18,5,780,6,19
4,4,3,0,5678,4,3,85,2,4
3,2,1,1,6442,15,6,455,8,16
10,0,2,0,4878,18,5,160,7,9
4,3,0,1,12446,24,3,775,21,10
4,2,1,2,16704,5,9,1760,23,4
4,0,5,1,9134,15,3,300,5,10
4,3,0,1,8586,15,5,520,20,4
4,0,2,0,7229,6,1,180,7,10
4,0,2,0,6144,21,4,180,7,10
1,0,2,0,6961,18,5,165,10,12
4,3,0,1,10844,5,9,730,16,4
3,1,4,0,3597,21,5,140,19,21
8,0,5,1,7139,21,3,475,10,18
1,4,3,2,25139,3,6,1775,9,15
4,2,1,2,10368,6,1,1615,9,12
1,2,1,1,5117,4,6,765,20,9
6,2,1,1,9211,18,5,455,11,19
8,3,0,0,4174,15,4,150,17,19
6,2,1,1,10786,27,5,705,7,19
4,0,5,1,9134,15,3,1420,8,7
4,2,1,2,13376,6,1,830,14,4
1,0,5,1,6955,21,3,770,22,10
4,3,0,1,10844,5,9,590,8,18
0,3,0,0,3807,4,1,150,19,22
4,3,0,1,9663,5,1,1315,14,12
4,2,1,1,12373,5,9,1570,2,4
8,0,2,0,4991,5,1,175,21,0
1,2,1,1,6745,21,3,1215,23,19
4,2,1,1,10262,15,6,1210,22,19
4,2,1,1,6540,27,3,655,17,4
8,3,0,0,3873,4,6,150,17,19
4,2,1,1,15554,5,9,1270,21,19
3,3,0,0,4804,27,5,155,20,22
4,2,1,1,7438,27,3,1240,23,19
0,0,2,0,6181,5,3,170,4,7
6,2,1,1,9424,5,1,390,19,1
1,0,5,2,12725,3,12,1800,17,23
1,0,5,1,6046,15,3,790,8,21
8,0,2,0,3971,15,6,175,21,0
4,3,0,1,12692,6,6,1080,20,14
3,2,1,1,7451,3,6,480,14,22
4,0,5,1,13817,3,12,525,22,7
4,3,0,1,10703,5,6,750,9,22
4,0,5,1,13817,3,12,800,21,10
4,0,5,1,27210,15,3,370,22,5
4,3,0,1,13941,18,5,450,21,4
1,0,5,1,10246,3,1,1155,17,12
3,3,0,0,4804,5,6,155,17,19
0,3,0,1,6810,6,6,720,22,10
4,0,2,0,5198,5,1,180,8,11
10,0,2,0,5613,5,3,170,21,23
3,4,3,0,4784,3,3,85,21,22
4,2,1,1,5406,21,3,1385,19,18
1,0,2,0,5228,27,4,170,13,16
4,2,1,1,12898,27,5,1325,20,19
1,1,4,0,4667,15,6,135,11,13
4,3,0,1,14781,21,5,345,14,19
10,0,2,0,5403,21,4,170,9,12
4,3,0,1,9899,6,12,570,14,23
4,2,1,2,13029,21,5,535,19,4
10,3,0,1,9187,18,5,1065,17,10
3,0,2,0,4823,24,5,170,20,22
1,2,1,2,8665,27,3,1305,21,19
3,2,1,1,14871,3,6,755,8,21
3,4,3,0,4049,21,6,90,6,7
1,1,4,0,4667,6,12,135,11,13
3,3,0,1,4226,4,9,235,19,23
1,0,5,0,7591,3,3,165,6,8
4,0,5,1,19225,3,6,450,5,13
4,2,1,1,12898,27,5,1040,19,12
